Ticker,Date,transaction,blot,val,lotv,valv,netbs_broker_code,netbs_stock_code,netbs_buy_avg_price,netbs_date,netbs_stock_code,type
SMDR,2024-05-03,buy,47195,1.2057452e+09,9.8064e+06,2.5293548e+09,CC,SMDR,257.9289851525534,20240502,SMDR,Pemerintah
SMDR,2024-05-03,buy,22115,5.710176e+08,2.5746e+06,6.635338e+08,DR,SMDR,257.7230637768974,20240502,SMDR,Asing
SMDR,2024-05-03,buy,14436,3.835688e+08,3.7383e+06,9.707662e+08,KK,SMDR,259.68119198566194,20240502,SMDR,Asing
SMDR,2024-05-03,buy,14121,3.64477e+08,2.5401e+06,6.540906e+08,NI,SMDR,257.5058462265265,20240502,SMDR,Pemerintah
SMDR,2024-05-03,buy,5782,1.486738e+08,589100,1.514242e+08,LG,SMDR,257.0432863690375,20240502,SMDR,Asing
SMDR,2024-05-03,buy,5324,1.376022e+08,1.3078e+06,3.365352e+08,CP,SMDR,257.3292552378039,20240502,SMDR,Asing
SMDR,2024-05-03,buy,4500,1.165e+08,450000,1.165e+08,SS,SMDR,258.8888888888889,20240502,SMDR,Lokal
SMDR,2024-05-03,buy,4227,1.09304e+08,787000,2.066128e+08,EP,SMDR,262.53214739517153,20240502,SMDR,Lokal
SMDR,2024-05-03,buy,3705,9.36568e+07,643900,1.666178e+08,OD,SMDR,258.7634725889113,20240502,SMDR,Pemerintah
SMDR,2024-05-03,buy,3020,7.8407e+07,302000,7.8407e+07,KI,SMDR,259.62582781456956,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-52462,-1.340687e+09,1.35746e+07,3.4779542e+09,YP,SMDR,256.21043713995255,20240502,SMDR,Asing
SMDR,2024-05-03,sell,-16821,-4.310728e+08,1.8807e+06,4.816964e+08,DX,SMDR,256.12612325198063,20240502,SMDR,Pemerintah
SMDR,2024-05-03,sell,-15120,-3.91396e+08,1.962e+06,5.05996e+08,ES,SMDR,257.8980632008155,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-9991,-2.577656e+08,1.0001e+06,2.580256e+08,PG,SMDR,257.999800019998,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-7937,-2.15908e+08,5.0503e+06,1.3120688e+09,XC,SMDR,259.80017028691367,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-7073,-1.756466e+08,2.3699e+06,6.029104e+08,SQ,SMDR,254.4033081564623,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-6357,-1.65243e+08,974400,2.532948e+08,AZ,SMDR,259.94950738916253,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-5832,-1.55152e+08,4.4889e+06,1.1619846e+09,XL,SMDR,258.85731470961707,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-3258,-8.36128e+07,1.6563e+06,4.277168e+08,GR,SMDR,258.2363098472499,20240502,SMDR,Lokal
SMDR,2024-05-03,sell,-2624,-6.60116e+07,881500,2.27528e+08,YB,SMDR,258.114577424844,20240502,SMDR,Lokal
SMGR,2024-05-03,buy,46202,2.1680359e+10,6.0008e+06,2.8173595e+10,BK,SMGR,4694.973170243968,20240502,SMGR,Asing
SMGR,2024-05-03,buy,15755,7.409517e+09,1.5755e+06,7.409517e+09,KZ,SMGR,4702.962234211362,20240502,SMGR,Asing
SMGR,2024-05-03,buy,11435,5.381722e+09,2.8385e+06,1.3356499e+10,CC,SMGR,4705.477893253479,20240502,SMGR,Pemerintah
SMGR,2024-05-03,buy,11005,5.158471e+09,1.2285e+06,5.761933e+09,SQ,SMGR,4690.218152218152,20240502,SMGR,Lokal
SMGR,2024-05-03,buy,3268,1.553696e+09,1.0627e+06,5.011601e+09,OD,SMGR,4715.913239860732,20240502,SMGR,Pemerintah
SMGR,2024-05-03,buy,2000,9.42e+08,200000,9.42e+08,IH,SMGR,4710,20240502,SMGR,Lokal
SMGR,2024-05-03,buy,1060,4.96158e+08,127100,5.96172e+08,IF,SMGR,4690.5743509048,20240502,SMGR,Lokal
SMGR,2024-05-03,buy,925,4.33223e+08,98500,4.61465e+08,TP,SMGR,4684.923857868021,20240502,SMGR,Asing
SMGR,2024-05-03,buy,664,3.15758e+08,92900,4.40346e+08,BB,SMGR,4740,20240502,SMGR,Lokal
SMGR,2024-05-03,buy,645,2.99949e+08,184800,8.67089e+08,KK,SMGR,4692.040043290043,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-32601,-1.5301143e+10,3.8642e+06,1.814106e+10,PD,SMGR,4694.648310128875,20240502,SMGR,Lokal
SMGR,2024-05-03,sell,-27261,-1.2818114e+10,3.2703e+06,1.5373875e+10,ZP,SMGR,4701.059535822402,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-14555,-6.835175e+09,1.4555e+06,6.835175e+09,RX,SMGR,4696.10099622123,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-8629,-4.03509e+09,1.9219e+06,9.017489e+09,YU,SMGR,4691.965763046985,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-3332,-1.577158e+09,971200,4.573352e+09,YP,SMGR,4708.970345963756,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-2234,-1.04884e+09,374000,1.75621e+09,GR,SMGR,4695.7486631016045,20240502,SMGR,Lokal
SMGR,2024-05-03,sell,-1799,-8.43326e+08,283500,1.329287e+09,LG,SMGR,4688.8430335097,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-1712,-8.12088e+08,239100,1.130594e+09,DR,SMGR,4728.540359682142,20240502,SMGR,Asing
SMGR,2024-05-03,sell,-1410,-6.65213e+08,262500,1.236317e+09,EP,SMGR,4709.779047619048,20240502,SMGR,Lokal
SMGR,2024-05-03,sell,-1234,-5.79331e+08,123400,5.79331e+08,AG,SMGR,4694.740680713128,20240502,SMGR,Asing
SMRA,2024-05-03,buy,115067,5.8458835e+09,1.15067e+07,5.8458835e+09,KI,SMRA,508.04170613642486,20240502,SMRA,Lokal
SMRA,2024-05-03,buy,77878,4.005996e+09,8.5672e+06,4.40725e+09,PD,SMRA,514.4329535904379,20240502,SMRA,Lokal
SMRA,2024-05-03,buy,62438,3.2547755e+09,6.4359e+06,3.355428e+09,GR,SMRA,521.3611149955717,20240502,SMRA,Lokal
SMRA,2024-05-03,buy,55000,2.8199875e+09,5.5e+06,2.8199875e+09,BB,SMRA,512.725,20240502,SMRA,Lokal
SMRA,2024-05-03,buy,54892,2.7767765e+09,7.5771e+06,3.8642865e+09,MG,SMRA,509.99544680682584,20240502,SMRA,Lokal
SMRA,2024-05-03,buy,12352,6.39505e+08,3.9417e+06,2.0452405e+09,YP,SMRA,518.8726945226679,20240502,SMRA,Asing
SMRA,2024-05-03,buy,10618,5.558705e+08,2e+06,1.033496e+09,KZ,SMRA,516.748,20240502,SMRA,Asing
SMRA,2024-05-03,buy,1998,1.04898e+08,200000,1.05e+08,DX,SMRA,525,20240502,SMRA,Pemerintah
SMRA,2024-05-03,buy,1749,8.81695e+07,226500,1.147115e+08,YB,SMRA,506.45253863134656,20240502,SMRA,Lokal
SMRA,2024-05-03,buy,1500,7.5e+07,250000,1.275e+08,CD,SMRA,510,20240502,SMRA,Lokal
SMRA,2024-05-03,sell,-198404,-1.01188055e+10,2.2246e+07,1.1370175e+10,CC,SMRA,511.11098624471816,20240502,SMRA,Pemerintah
SMRA,2024-05-03,sell,-126438,-6.4854845e+09,1.27518e+07,6.5412445e+09,LG,SMRA,512.9663655327091,20240502,SMRA,Asing
SMRA,2024-05-03,sell,-45645,-2.3328145e+09,4.772e+06,2.4387525e+09,AK,SMRA,511.054589270746,20240502,SMRA,Asing
SMRA,2024-05-03,sell,-6432,-3.28332e+08,696800,3.561815e+08,SQ,SMRA,511.16747990815156,20240502,SMRA,Lokal
SMRA,2024-05-03,sell,-3807,-2.0031e+08,478300,2.509715e+08,EP,SMRA,524.7156596278486,20240502,SMRA,Lokal
SMRA,2024-05-03,sell,-3875,-1.95301e+08,436000,2.20384e+08,AT,SMRA,505.4678899082569,20240502,SMRA,Lokal
SMRA,2024-05-03,sell,-3022,-1.553035e+08,540300,2.78981e+08,XC,SMRA,516.3446233573941,20240502,SMRA,Lokal
SMRA,2024-05-03,sell,-2574,-1.349805e+08,672000,3.48079e+08,XA,SMRA,517.9747023809524,20240502,SMRA,Asing
SMRA,2024-05-03,sell,-2094,-1.0856e+08,217600,1.12777e+08,BK,SMRA,518.2766544117648,20240502,SMRA,Asing
SMRA,2024-05-03,sell,-1988,-1.059075e+08,1.2803e+06,6.559045e+08,KK,SMRA,512.305319065844,20240502,SMRA,Asing
SSIA,2024-05-03,buy,13603,1.470213e+09,1.5328e+06,1.65526e+09,LG,SSIA,1079.893006263048,20240502,SSIA,Asing
SSIA,2024-05-03,buy,12108,1.305202e+09,1.35e+06,1.451501e+09,CP,SSIA,1075.1859259259259,20240502,SSIA,Asing
SSIA,2024-05-03,buy,12095,1.285767e+09,1.222e+06,1.2992045e+09,YU,SSIA,1063.1788052373158,20240502,SSIA,Asing
SSIA,2024-05-03,buy,12000,1.281442e+09,1.2e+06,1.281442e+09,RX,SSIA,1067.8683333333333,20240502,SSIA,Asing
SSIA,2024-05-03,buy,11970,1.27855e+09,1.252e+06,1.337625e+09,YJ,SSIA,1068.3905750798722,20240502,SSIA,Lokal
SSIA,2024-05-03,buy,11242,1.204286e+09,1.2802e+06,1.368438e+09,PD,SSIA,1068.925167942509,20240502,SSIA,Lokal
SSIA,2024-05-03,buy,10349,1.082641e+09,1.0354e+06,1.083166e+09,DX,SSIA,1046.132895499324,20240502,SSIA,Pemerintah
SSIA,2024-05-03,buy,7591,7.95419e+08,759100,7.95419e+08,DP,SSIA,1047.8448162297457,20240502,SSIA,Asing
SSIA,2024-05-03,buy,2273,2.47955e+08,1.312e+06,1.3960365e+09,AK,SSIA,1064.0522103658536,20240502,SSIA,Asing
SSIA,2024-05-03,buy,2000,2.125e+08,200000,2.125e+08,SH,SSIA,1062.5,20240502,SSIA,Lokal
SSIA,2024-05-03,sell,-34532,-3.7260525e+09,3.5512e+06,3.8284445e+09,NI,SSIA,1078.070652173913,20240502,SSIA,Pemerintah
SSIA,2024-05-03,sell,-16156,-1.707092e+09,2.3156e+06,2.446092e+09,AI,SSIA,1056.3534289169113,20240502,SSIA,Asing
