Ticker,Date,transaction,blot,val,lotv,valv,netbs_broker_code,netbs_stock_code,netbs_buy_avg_price,netbs_date,netbs_stock_code,type
SMDR,2024-05-06,buy,10403,2.662968e+08,2.6852e+06,6.871142e+08,CC,SMDR,255.88939371368986,20240503,SMDR,Pemerintah
SMDR,2024-05-06,buy,5978,1.526448e+08,682500,1.743202e+08,AK,SMDR,255.41421245421245,20240503,SMDR,Asing
SMDR,2024-05-06,buy,5186,1.335146e+08,1.2908e+06,3.301196e+08,XC,SMDR,255.74806321660986,20240503,SMDR,Lokal
SMDR,2024-05-06,buy,4734,1.205862e+08,1.4152e+06,3.617792e+08,XL,SMDR,255.63821368004523,20240503,SMDR,Lokal
SMDR,2024-05-06,buy,2767,7.01618e+07,823700,2.105106e+08,PD,SMDR,255.56707539152603,20240503,SMDR,Lokal
SMDR,2024-05-06,buy,1756,4.45092e+07,282000,7.17556e+07,OD,SMDR,254.45248226950355,20240503,SMDR,Pemerintah
SMDR,2024-05-06,buy,1339,3.42074e+07,323600,8.2802e+07,NI,SMDR,255.87762669962916,20240503,SMDR,Pemerintah
SMDR,2024-05-06,buy,1083,2.7734e+07,178400,4.56896e+07,DH,SMDR,256.10762331838566,20240503,SMDR,Lokal
SMDR,2024-05-06,buy,965,2.4504e+07,100100,2.54256e+07,LG,SMDR,254.001998001998,20240503,SMDR,Asing
SMDR,2024-05-06,buy,369,9.4804e+06,36900,9.4804e+06,BK,SMDR,256.92140921409214,20240503,SMDR,Asing
SMDR,2024-05-06,sell,-10810,-2.757512e+08,2.784e+06,7.102248e+08,YP,SMDR,255.1094827586207,20240503,SMDR,Asing
SMDR,2024-05-06,sell,-7100,-1.824502e+08,824800,2.11559e+08,KK,SMDR,256.49733268671196,20240503,SMDR,Asing
SMDR,2024-05-06,sell,-6007,-1.513804e+08,847500,2.143752e+08,SQ,SMDR,252.95008849557522,20240503,SMDR,Lokal
SMDR,2024-05-06,sell,-2900,-7.51394e+07,477700,1.2266e+08,CP,SMDR,256.772032656479,20240503,SMDR,Asing
SMDR,2024-05-06,sell,-1777,-4.52172e+07,249000,6.3352e+07,EP,SMDR,254.42570281124497,20240503,SMDR,Lokal
SMDR,2024-05-06,sell,-1070,-2.72912e+07,111700,2.84952e+07,AT,SMDR,255.1047448522829,20240503,SMDR,Lokal
SMDR,2024-05-06,sell,-1016,-2.6104e+07,217300,5.56308e+07,DR,SMDR,256.0092038656236,20240503,SMDR,Asing
SMDR,2024-05-06,sell,-901,-2.30648e+07,100000,2.56e+07,XA,SMDR,256,20240503,SMDR,Asing
SMDR,2024-05-06,sell,-877,-2.26146e+07,187900,4.82386e+07,GR,SMDR,256.72485364555615,20240503,SMDR,Lokal
SMDR,2024-05-06,sell,-864,-2.21214e+07,99500,2.5475e+07,YU,SMDR,256.03015075376885,20240503,SMDR,Asing
SMGR,2024-05-06,buy,33552,1.5622881e+10,4.3472e+06,2.0249866e+10,BK,SMGR,4658.13995215311,20240503,SMGR,Asing
SMGR,2024-05-06,buy,7079,3.302403e+09,985300,4.597899e+09,AK,SMGR,4666.496498528367,20240503,SMGR,Asing
SMGR,2024-05-06,buy,5084,2.369956e+09,1.1565e+06,5.381824e+09,YP,SMGR,4653.544314742759,20240503,SMGR,Asing
SMGR,2024-05-06,buy,2759,1.284797e+09,277900,1.294057e+09,GR,SMGR,4656.556315221303,20240503,SMGR,Lokal
SMGR,2024-05-06,buy,2545,1.177578e+09,335300,1.552439e+09,KZ,SMGR,4630,20240503,SMGR,Asing
SMGR,2024-05-06,buy,2488,1.155978e+09,251500,1.168523e+09,DH,SMGR,4646.214711729623,20240503,SMGR,Lokal
SMGR,2024-05-06,buy,2228,1.04133e+09,281400,1.314039e+09,KK,SMGR,4669.648187633262,20240503,SMGR,Asing
SMGR,2024-05-06,buy,2000,9.28e+08,200000,9.28e+08,IH,SMGR,4640,20240503,SMGR,Lokal
SMGR,2024-05-06,buy,1446,6.78536e+08,258200,1.208151e+09,XL,SMGR,4679.128582494191,20240503,SMGR,Lokal
